method,fit,segments,mae_h_deg,mae_v_deg,mae_h_sd_deg,mae_v_sd_deg,excluded_mae_h_deg,excluded_mae_v_deg,excluded_fraction
"Known start, detected saccades",same subject,short 1-2 s,2.7188338790978728,1.9650667248706355,0.6428900706525792,1.0615334676279264,2.671469145666358,1.734927913917463,0.027567340067340067
"Known start, detected saccades + head rotation",same subject,short 1-2 s,1.6028115119085289,1.825146399481934,0.24074290544726695,1.113139624556664,1.4972565616373414,1.4979002125456202,0.03282828282828283
"Known start, level change since start",same subject,short 1-2 s,2.7741233163160075,2.4063210668629433,0.6946678226833819,0.7013525140117052,2.702232745616442,2.2276805402015922,0.020202020202020204
"Known start, detected saccades",same subject,long 32 s,8.04055603580591,13.01662304061175,1.7826028222159511,14.794079030358965,7.6749443030716495,12.674817371229135,0.033854166666666664
"Known start, detected saccades + head rotation",same subject,long 32 s,5.576457507310376,12.821418402463113,2.006563798383927,14.857395270093392,5.33033513694381,12.422250776367054,0.028645833333333332
"Known start, detected saccades",unseen subject,short 1-2 s,2.7290894363134353,2.214811830596423,0.7087724042188893,1.0152270161646504,2.7081312592532907,2.0189363209006275,0.030303030303030304
"Known start, detected saccades + head rotation",unseen subject,short 1-2 s,1.6895207901461562,2.122163978898236,0.49404124581710307,1.1073820431769135,1.6300423996992621,1.924210378297738,0.030303030303030304
"Known start, level change since start",unseen subject,short 1-2 s,2.6005016342159695,2.681047516358242,0.9185550015921823,0.8667009070179463,2.5692050960503403,2.5162644038996964,0.0180976430976431
"Known start, detected saccades",unseen subject,long 32 s,8.034549095701674,9.955782953688356,2.919918584451246,6.550999264722173,7.662563944871276,9.582148227228416,0.036458333333333336
"Known start, detected saccades + head rotation",unseen subject,long 32 s,5.758902860792359,9.746541618356492,2.9146702869976386,6.651354012781411,5.674230196193632,9.371532011933313,0.015625
Published: dual Kalman filter + VOR model,same subject,short 1-2 s,,,,,1.85,2.19,0.0777
"Published: signal differencing [BSPC 47, 2019]",same subject,short 1-2 s,,,,,3.59,2.52,0.0777
Published: dual Kalman filter + VOR model,same subject,long 32 s,,,,,4.64,6.1,0.0391
"Published: signal differencing [BSPC 47, 2019]",same subject,long 32 s,,,,,8.13,11.25,0.0391
