method,fit,segments,mae_h_deg,mae_v_deg,mae_h_sd_deg,mae_v_sd_deg,excluded_mae_h_deg,excluded_mae_v_deg,excluded_fraction
"Known start, detected saccades",same subject,short 1-2 s,1.166929803496907,1.392250993293167,0.487550744196221,0.2666717891400644,1.1052653692527905,1.3806168155573972,0.003367003367003367
"Known start, level change since start",same subject,short 1-2 s,1.4698312195955612,2.3732758610152898,0.6082126984238326,0.5964380144769108,1.4651730707195845,2.364960117684867,0.003367003367003367
"Known start, detected saccades",same subject,long 32 s,4.712894486676248,8.385871920842712,1.5869335218807405,3.1319172336449608,4.341288958958671,8.347177197210451,0.07083333333333333
"Known start, detected saccades",unseen subject,short 1-2 s,1.3440781499211854,1.8207138789440784,0.46370778431736465,0.5426551026806365,1.2826612938370885,1.8108323597759424,0.003367003367003367
"Known start, level change since start",unseen subject,short 1-2 s,1.6538078712817885,2.805279130481268,0.6221957765528371,0.7791109122597745,1.6484215495079262,2.7964784144669066,0.003367003367003367
"Known start, detected saccades",unseen subject,long 32 s,4.912993380326276,8.73430416323077,1.4134365438229548,3.6281171709483266,4.54632738765839,8.693965298127202,0.07083333333333333
Published: dual Kalman filter,same subject,short 1-2 s,,,,,1.64,1.97,0.0685
"Published: signal differencing [BSPC 47, 2019]",same subject,short 1-2 s,,,,,1.51,1.95,0.0685
Published: dual Kalman filter,same subject,long 32 s,,,,,5.23,6.59,0.0583
"Published: signal differencing [BSPC 47, 2019]",same subject,long 32 s,,,,,5.82,8.04,0.0583
