method,fit,segments,mae_h_deg,mae_v_deg,mae_h_sd_deg,mae_v_sd_deg,excluded_mae_h_deg,excluded_mae_v_deg,excluded_fraction
"Known start, detected saccades",same subject,short 1-2 s,0.5353109747144923,1.205143400667612,0.20860054311882698,0.5200055093072042,0.4724843121876852,1.025092782143835,0.021284271284271284
"Known start, level change since start",same subject,short 1-2 s,0.8906987954348203,1.6348281495132384,0.2506253257389111,0.5697888019404793,0.8518072556877089,1.5920020882558983,0.01430976430976431
"Known start, detected saccades",same subject,long 32 s,2.261994347353507,9.691088672686934,0.6452901153261454,6.612692463920577,2.023297347575942,9.685796484534128,0.03273809523809524
"Known start, fused with cross-subject XGBoost",same subject,short 1-2 s,0.5337294952175192,1.1244911823128494,0.2017529159044263,0.39516460275795756,0.48517905562124736,1.0254958224480564,0.04316979316979317
"Known start, fused with cross-subject XGBoost",same subject,long 32 s,0.8628969531200031,1.3524769189047634,0.3298914793183737,0.44406760176630417,0.8532454867013068,1.349200725473652,0.00744047619047619
"Known start, detected saccades",unseen subject,short 1-2 s,0.5602128624099781,1.235174756776121,0.20574881765410438,0.49612248146380244,0.5008469219637143,1.0912826196651448,0.017075517075517077
"Known start, level change since start",unseen subject,short 1-2 s,0.9130209889077213,1.674930719351225,0.26029280510852837,0.5802185730986578,0.884370793611173,1.630753375292558,0.011544011544011544
"Known start, detected saccades",unseen subject,long 32 s,2.3095902416913403,9.637757132539402,0.6998582162064277,6.651097044604437,2.08961364644426,9.547456672562467,0.03273809523809524
"Known start, fused with cross-subject XGBoost",unseen subject,short 1-2 s,0.5610478107064386,1.2328178186004133,0.20501627549245455,0.4074997593319055,0.5073243088416024,1.1194698123886808,0.027417027417027416
"Known start, fused with cross-subject XGBoost",unseen subject,long 32 s,0.8658675924038555,1.3550023182001247,0.33318305408597704,0.4452514198469448,0.8564388342562179,1.3484668726228957,0.017857142857142856
