candidate,fixation_mae_h_deg,fixation_mae_v_deg,rmse_h_deg,rmse_v_deg
range=30-60-120s quantiles=q10-90+q05-95 train=fixation,4.310041108101665,3.7764032889017174,7.316556475792577,5.83561516755709
range=60-240s quantiles=q10-90+q05-95 train=fixation,4.3129844103522865,3.7834905490714212,7.304663882733162,5.809879606933708
range=30-60-120s quantiles=q10-90+q05-95 train=weighted,4.353829950707064,3.81592918237921,6.2787027031088245,5.2948656552194935
range=30-60-120s quantiles=q02-98+q10-90 train=fixation,4.333350070220274,3.8427870087290605,7.334586129739552,5.94044457433743
range=60-120-240s quantiles=q10-90+q05-95 train=fixation,4.3562182489299515,3.8275479024857377,7.348494988666549,5.852622631937673
range=60-240s quantiles=q02-98+q10-90 train=fixation,4.3124729798450545,3.8748651632963655,7.358567777460201,5.932261309206766
range=30-60-120s quantiles=q02-98+q10-90 train=weighted,4.308263774664172,3.895798216137745,6.235703954238246,5.387835192187902
range=60-120-240s quantiles=q02-98+q10-90 train=fixation,4.362290656846877,3.847048923458741,7.384594383886437,5.925817861887014
range=60-120-240s quantiles=q10-90+q05-95 train=weighted,4.385275634807147,3.876062876529346,6.31792319572501,5.324986995508858
range=30-60-120s quantiles=q05-95 train=fixation,4.358349137928435,3.9137469073745406,7.326434507965657,5.830618695546917
range=60-240s quantiles=q10-90+q05-95 train=weighted,4.341429745672963,3.9436931357935476,6.265545002612682,5.445889465184864
range=60-240s quantiles=q02-98+q10-90 train=weighted,4.329571662238356,3.972593640664832,6.27875384209803,5.500720025962981
range=120-240-480s quantiles=q02-98+q10-90 train=fixation,4.453856867936183,3.8633490500410246,7.475092603402608,5.902623653831418
range=120-240-480s quantiles=q10-90+q05-95 train=fixation,4.488962688171413,3.8307428473879903,7.47395081842515,5.853304730822402
range=60-120-240s quantiles=q02-98+q10-90 train=weighted,4.371489443211504,3.954428033450232,6.300923920009088,5.436165909509274
range=60-240s quantiles=q05-95 train=fixation,4.374687498201878,4.0121694469554345,7.331462805467112,5.913408419718716
range=120-240-480s quantiles=q10-90+q05-95 train=weighted,4.459308465908908,3.9325574076320287,6.397141352775928,5.413949291642717
range=60-120-240s quantiles=q05-95 train=fixation,4.4330423498834834,3.9783507916937126,7.377845553797244,5.897583016239219
range=30-60-120s quantiles=q05-95 train=weighted,4.4258688640058335,4.001978691765783,6.362081776677625,5.462904195513584
range=120-240-480s quantiles=q05-95 train=fixation,4.490196886083874,3.9666132969896735,7.451883330175729,5.891289756410098
range=120-240-480s quantiles=q02-98+q10-90 train=weighted,4.477204347096235,4.018115168921354,6.418838958329735,5.523114892052173
range=60-240s quantiles=q05-95 train=weighted,4.434855348131612,4.088426073040935,6.301110060231172,5.5217709455224275
range=60-120-240s quantiles=q05-95 train=weighted,4.491455428714813,4.0363955632360575,6.343650238904882,5.492354005445146
range=120-240-480s quantiles=q05-95 train=weighted,4.516758671896554,4.059563708767503,6.439594240997351,5.513537646331279
