candidate,fixation_mae_h_deg,fixation_mae_v_deg,rmse_h_deg,rmse_v_deg
window=30s features=context train=weighted,3.5500238135570954,3.676729628695005,5.280948858839427,5.168336415905641
window=30s features=context train=fixation,3.583435890073699,3.6647684502207007,6.55700939080084,5.834825642987062
window=30s features=context train=all,3.616818000011763,3.7448284556360756,5.324423292382787,5.222356763088538
window=60s features=context train=fixation,3.607685825515398,3.8039250905105204,6.617991691819828,5.863763521178268
window=60s features=context train=weighted,3.6225743167429387,3.80736014146243,5.421328021536798,5.29189054387557
window=30s features=engineered train=weighted,3.6517912334740013,3.8104482517980567,5.390928566592346,5.2712734377650925
window=30s features=engineered train=all,3.7017986731421892,3.814231589144109,5.377104681961137,5.231549559330192
window=30s features=range train=fixation,3.7277581818224372,3.83148220524953,6.568045559990857,5.891626736303931
window=60s features=context train=all,3.6931458060775504,3.896106784003653,5.427477792672323,5.305484857887962
window=30s features=engineered train=fixation,3.756803039732659,3.851775374985638,6.762822016597046,5.96699429987243
window=120s features=range train=fixation,3.790513857603801,3.8551752294088937,6.680111453960464,5.954026326768572
window=60s features=range train=fixation,3.841618069730064,3.8730790031755227,6.664284638723297,5.913894577909536
window=30s features=range train=weighted,3.7749999699052768,3.9884803045397246,5.432638491312194,5.474329671474054
window=60s features=engineered train=weighted,3.7248377872451663,4.125801231808209,5.48742866386212,5.569736102788849
window=60s features=engineered train=fixation,3.766216620915243,4.112617290240838,6.855386420153032,6.185948739323756
window=120s features=context train=weighted,3.761996587629782,4.117917120580046,5.566657230486436,5.5070880746427315
window=120s features=context train=fixation,3.8072115059590304,4.097289319211672,6.783264888965784,6.045133928150969
window=60s features=engineered train=all,3.7674920284471805,4.1583829627521744,5.4860056801031725,5.557693878048576
window=120s features=range train=weighted,3.862690592525296,4.087270578627347,5.616691384164495,5.624633333220289
window=60s features=range train=weighted,3.913964667402653,4.04702068370285,5.61357907582697,5.468536577970876
window=120s features=context train=all,3.814075958401723,4.195593495279791,5.573412798956268,5.508698300014252
window=30s features=range train=all,3.8982445296703196,4.151503336104146,5.519884465068018,5.671332481701836
window=120s features=range train=all,3.95799964756352,4.161438759160461,5.660467205242333,5.598053527584977
window=60s features=range train=all,4.080543750188503,4.213476951642981,5.731556090927168,5.598862934165789
window=120s features=engineered train=weighted,4.341867215082301,4.7790277638610075,6.182530801788517,6.08436569083547
window=120s features=engineered train=fixation,4.389645798767568,4.775976858208766,7.446734673961072,6.717073708572006
window=120s features=engineered train=all,4.420859293360252,4.774284068312971,6.180255781249753,6.059015391405472
