candidate,fixation_mae_h_deg,fixation_mae_v_deg,rmse_h_deg,rmse_v_deg
window=30s features=range train=fixation,0.9065865904957136,1.3160343969008135,2.9921801019507552,3.2143629725865552
window=30s features=context train=fixation,0.9514134316300934,1.2980689556164244,2.991896781055727,3.160801349216428
window=30s features=range train=weighted,1.12699672881594,1.373707040391496,2.1136393030159053,2.36535396258082
window=30s features=context train=weighted,1.1288696673550973,1.3917998059461414,2.11114146570042,2.3730718012066703
window=60s features=context train=fixation,1.150199028061542,1.4593195945341966,3.0693156293166854,3.2307251700284345
window=60s features=range train=fixation,1.1104517321442813,1.5078814190792567,3.122229749868958,3.3740977550288225
window=30s features=engineered train=fixation,1.1782955492661602,1.594486629171649,2.8443884024238644,3.1596892808309915
window=60s features=context train=weighted,1.3378909274779398,1.5270725887933256,2.269513946913448,2.4640453919451932
window=60s features=range train=weighted,1.3276510346035268,1.5608877371765024,2.2550312454791746,2.483187603654075
window=30s features=engineered train=weighted,1.322221548086102,1.6805913571956663,2.363827519530343,2.6397690391852855
window=30s features=range train=all,1.4050330242691642,1.6289892438952884,2.066552999133326,2.310393684924695
window=30s features=context train=all,1.4275727876860844,1.6429060406278337,2.0699618311566375,2.312136309517698
window=120s features=range train=fixation,1.3850115396804237,1.9423699594895356,3.1459786184497296,3.559887745814203
window=120s features=context train=fixation,1.4480417759231679,1.9409778849914847,3.2928250532870864,3.452671702644754
window=60s features=context train=all,1.6222459423533115,1.787033526118387,2.226093700745223,2.403538625398508
window=60s features=range train=all,1.6079130167773619,1.8108657620711186,2.2135328328012567,2.416778245125326
window=60s features=engineered train=fixation,1.539576867615486,1.9529205992508474,3.0164499456703373,3.407934510396026
window=120s features=range train=weighted,1.5635155369668932,1.962575609977934,2.4471869361575656,2.730403264845531
window=60s features=engineered train=weighted,1.6392092440622645,2.0005507291365494,2.562869313206208,2.8451287889565213
window=30s features=engineered train=all,1.6706013386573435,1.990849012909924,2.307667727011831,2.5698124281262995
window=120s features=context train=weighted,1.6269938040620713,2.0375683584173845,2.5208538094502684,2.735555913567494
window=120s features=range train=all,1.8417655731352516,2.190924896543268,2.383593681114925,2.6474358306683623
window=60s features=engineered train=all,1.9046138710070064,2.264807194612519,2.475409035480453,2.751350082861483
window=120s features=context train=all,1.9100921350779352,2.270024402952023,2.468994529896392,2.6870967846072107
window=120s features=engineered train=weighted,2.2394212013921475,3.378344011178504,2.982814789627041,3.9056047478533955
window=120s features=engineered train=fixation,2.270057173603947,3.4894727037204674,3.502331781292715,4.594592897249918
window=120s features=engineered train=all,2.424343875416135,3.349160782398721,2.821595336605463,3.5625428982711513
